iter	Passed	Remaining
0	0	63
1	1	56
2	1	53
3	2	48
4	2	47
5	3	47
6	3	46
7	3	45
8	4	46
9	5	46
10	5	46
11	6	45
12	6	44
13	7	43
14	7	43
15	8	42
16	8	41
17	9	41
18	9	41
19	10	40
20	10	40
21	11	40
22	11	39
23	12	38
24	12	38
25	13	37
26	13	37
27	14	36
28	14	35
29	15	35
30	15	34
31	16	34
32	16	33
33	16	32
34	17	32
35	17	31
36	18	31
37	18	30
38	19	30
39	19	29
40	20	29
41	20	28
42	21	27
43	21	27
44	22	26
45	22	26
46	23	26
47	23	25
48	24	25
49	25	25
50	25	24
51	26	24
52	27	24
53	27	23
54	27	22
55	28	22
56	29	21
57	29	21
58	30	20
59	30	20
60	31	19
61	31	19
62	32	18
63	32	18
64	33	17
65	33	17
66	33	16
67	34	16
68	34	15
69	35	15
70	35	14
71	36	14
72	36	13
73	37	13
74	38	12
75	38	12
76	39	11
77	39	11
78	40	10
79	40	10
80	41	9
81	41	9
82	42	8
83	42	8
84	43	7
85	43	7
86	44	6
87	44	6
88	45	5
89	45	5
90	46	4
91	46	4
92	47	3
93	47	3
94	48	2
95	48	2
96	49	1
97	49	1
98	50	0
99	50	0
