iter	Passed	Remaining
0	0	783
1	1	714
2	2	672
3	3	778
4	3	761
5	4	736
6	5	715
7	5	704
8	6	690
9	6	679
10	7	670
11	8	668
12	8	682
13	9	676
14	10	666
15	10	658
16	11	652
17	11	647
18	12	640
19	12	635
20	13	629
21	14	624
22	14	620
23	15	615
24	15	611
25	16	607
26	16	602
27	17	598
28	18	609
29	18	611
30	19	609
31	20	607
32	20	608
33	21	611
34	22	614
35	22	611
36	23	609
37	23	606
38	24	603
39	25	601
40	25	599
41	26	597
42	26	595
43	27	593
44	27	590
45	28	588
46	28	586
47	29	584
48	30	582
49	30	580
50	31	578
51	31	576
52	32	574
53	33	582
54	33	583
55	34	583
56	35	584
57	35	583
58	36	582
59	37	580
60	37	579
61	38	582
62	39	581
63	39	579
64	40	579
65	40	577
66	41	575
67	41	573
68	42	571
69	42	570
70	43	568
71	44	567
72	44	565
73	45	563
74	45	562
75	46	561
76	46	560
77	47	562
78	48	564
79	48	563
80	49	561
81	50	560
82	50	557
83	51	557
84	51	557
85	52	556
86	52	555
87	53	555
88	54	553
89	54	552
90	55	551
91	55	550
92	56	548
93	56	547
94	57	546
95	57	545
96	58	544
97	58	542
98	59	541
99	60	540
100	60	539
101	61	538
102	61	537
103	62	539
104	63	542
105	64	542
106	64	541
107	65	540
108	65	539
109	66	538
110	67	536
111	67	535
112	68	535
113	68	534
114	69	533
115	69	531
116	70	529
117	70	527
118	71	526
119	71	524
120	71	522
121	72	520
122	72	519
123	73	517
124	73	516
125	74	514
126	74	512
127	75	511
128	75	510
129	76	508
130	76	507
131	77	510
132	78	514
133	79	514
134	80	515
135	80	513
136	81	512
137	81	511
138	82	510
139	82	508
140	83	507
141	83	505
142	84	504
143	84	503
144	85	501
145	85	500
146	86	499
147	86	497
148	86	496
149	87	495
150	87	494
151	88	493
152	88	492
153	89	490
154	89	489
155	90	488
156	90	487
157	91	486
158	91	486
159	93	489
160	93	488
161	94	487
162	94	486
163	95	485
164	95	483
165	96	483
166	96	482
167	97	481
168	97	479
169	98	478
170	98	477
171	98	476
172	99	475
173	99	474
174	100	473
175	100	472
176	101	471
177	101	470
178	102	468
179	102	467
180	103	466
181	103	465
182	104	464
183	104	463
184	104	462
185	105	461
186	105	460
187	106	459
188	107	460
189	108	460
190	108	460
191	109	459
192	109	458
193	110	460
194	111	459
195	111	458
196	112	458
197	112	457
198	113	455
199	113	454
200	114	453
201	114	452
202	115	451
203	115	451
204	116	450
205	116	449
206	116	448
207	117	447
208	117	446
209	118	445
210	118	444
211	119	443
212	119	442
213	120	441
214	120	440
215	121	439
216	121	438
217	122	440
218	123	440
219	124	442
220	125	442
221	126	443
222	127	442
223	127	442
224	128	442
225	129	442
226	129	442
227	130	441
228	130	440
229	131	439
230	131	438
231	132	437
232	132	436
233	133	435
234	133	434
235	134	433
236	134	432
237	134	431
238	135	430
239	135	430
240	136	429
241	137	429
242	138	431
243	139	431
244	139	430
245	140	430
246	140	429
247	141	428
248	142	428
249	142	428
250	143	427
251	143	427
252	144	426
253	144	425
254	145	424
255	145	423
256	146	422
257	146	421
258	147	420
259	147	419
260	147	419
261	148	418
262	148	417
263	149	416
264	149	415
265	150	414
266	150	413
267	151	413
268	153	417
269	155	420
270	156	419
271	156	419
272	157	420
273	159	421
274	159	421
275	160	421
276	194	508
277	195	507
278	196	507
279	197	507
280	198	507
281	199	507
282	202	513
283	203	512
284	204	512
285	205	512
286	205	511
287	206	510
288	207	510
289	208	509
290	208	509
291	209	508
292	210	507
293	211	507
294	212	508
295	213	507
296	214	507
297	215	508
298	217	508
299	217	508
300	218	508
301	219	507
302	220	507
303	221	508
304	222	507
305	223	506
306	224	506
307	225	505
308	226	505
309	226	505
310	230	510
311	231	511
312	232	510
313	233	510
314	234	510
315	237	513
316	238	513
317	239	512
318	239	511
319	240	511
320	241	510
321	242	510
322	243	509
323	243	508
324	244	508
325	245	507
326	246	508
327	247	507
328	248	507
329	249	506
330	250	506
331	251	505
332	251	504
333	252	504
334	253	503
335	254	503
336	255	502
337	256	501
338	257	501
339	257	500
340	258	499
341	259	499
342	260	499
343	261	498
344	262	498
345	263	498
346	264	498
347	265	496
348	265	495
349	266	494
350	267	493
351	267	492
352	268	491
353	268	490
354	269	489
355	269	488
356	270	487
357	271	486
358	271	485
359	272	484
360	272	482
361	273	481
362	287	504
363	288	504
364	289	503
365	290	502
366	294	507
367	294	506
368	295	505
369	296	504
370	296	502
371	297	501
372	297	500
373	298	499
374	298	497
375	299	496
376	299	494
377	299	493
378	300	492
379	300	490
380	301	489
381	301	488
382	302	486
383	302	485
384	303	484
385	303	483
386	304	481
387	304	480
388	305	479
389	305	477
390	306	477
391	307	476
392	308	475
393	308	474
394	309	473
395	309	472
396	309	470
397	310	469
398	310	468
399	311	467
400	312	466
401	312	465
402	313	464
403	313	462
404	314	461
405	315	460
406	315	459
407	316	458
408	316	457
409	317	456
410	317	455
411	318	454
412	318	453
413	319	451
414	319	450
415	320	449
416	320	448
417	321	447
418	322	447
419	323	446
420	323	444
421	323	443
422	324	442
423	325	441
424	325	440
425	326	439
426	326	438
427	327	437
428	327	436
429	328	435
430	328	434
431	329	433
432	330	432
433	330	431
434	331	430
435	331	429
436	332	428
437	332	427
438	333	426
439	333	425
440	334	424
441	335	423
442	335	421
443	336	421
444	337	420
445	338	420
446	338	419
447	339	418
448	339	417
449	340	416
450	341	415
451	341	414
452	342	413
453	342	411
454	342	410
455	343	409
456	343	408
457	344	407
458	344	406
459	345	405
460	345	404
461	346	403
462	346	402
463	347	400
464	347	399
465	348	398
466	348	397
467	348	396
468	349	395
469	349	394
470	350	393
471	351	392
472	352	392
473	352	391
474	353	390
475	353	389
476	354	388
477	354	387
478	355	386
479	355	385
480	356	384
481	356	383
482	357	382
483	357	381
484	358	380
485	358	379
486	359	378
487	359	377
488	359	376
489	360	375
490	360	374
491	361	373
492	361	372
493	362	371
494	362	370
495	363	369
496	363	368
497	364	367
498	364	366
499	365	365
500	365	364
501	366	363
502	367	363
503	368	362
504	368	361
505	369	360
506	369	359
507	370	358
508	370	357
509	371	356
510	371	355
511	371	354
512	372	353
513	372	352
514	373	351
515	373	350
516	374	349
517	374	348
518	375	347
519	375	346
520	376	345
521	376	344
522	377	343
523	377	342
524	377	341
525	378	341
526	378	340
527	379	339
528	379	338
529	380	337
530	381	336
531	382	336
532	382	335
533	383	334
534	383	333
535	384	332
536	384	331
537	384	330
538	385	329
539	385	328
540	386	327
541	386	326
542	387	326
543	387	325
544	388	324
545	388	323
546	389	322
547	389	321
548	390	320
549	390	319
550	391	318
551	391	317
552	392	316
553	392	316
554	392	315
555	393	314
556	393	313
557	394	312
558	395	311
559	396	311
560	397	310
561	397	310
562	398	309
563	398	308
564	399	307
565	399	306
566	400	305
567	400	304
568	401	303
569	401	303
570	402	302
571	402	301
572	403	300
573	403	299
574	403	298
575	404	297
576	404	296
577	405	295
578	405	295
579	406	294
580	406	293
581	407	292
582	407	291
583	408	290
584	408	289
585	409	289
586	410	288
587	413	289
588	414	289
589	416	289
590	416	288
591	417	287
592	417	286
593	418	285
594	418	284
595	419	284
596	419	283
597	419	282
598	420	281
599	420	280
600	421	279
601	421	278
602	422	278
603	422	277
604	423	276
605	423	275
606	424	274
607	424	273
608	425	273
609	425	272
610	426	271
611	427	270
612	427	270
613	428	269
614	429	268
615	429	267
616	430	267
617	430	266
618	431	265
619	431	264
620	432	263
621	432	263
622	433	262
623	433	261
624	434	260
625	434	259
626	435	258
627	435	258
628	436	257
629	436	256
630	437	255
631	437	254
632	438	254
633	439	253
634	439	252
635	440	252
636	441	251
637	442	250
638	442	250
639	443	249
640	443	248
641	444	247
642	444	247
643	445	246
644	445	245
645	446	244
646	446	243
647	447	242
648	447	242
649	448	241
650	448	240
651	449	239
652	449	238
653	449	238
654	450	237
655	451	236
656	451	235
657	452	234
658	452	234
659	452	233
660	453	232
661	453	231
662	454	230
663	454	230
664	455	229
665	455	228
666	456	228
667	457	227
668	458	226
669	458	225
670	459	225
671	459	224
672	460	223
673	460	222
674	461	222
675	461	221
676	462	220
677	462	219
678	463	218
679	463	218
680	464	217
681	464	216
682	465	215
683	465	215
684	466	214
685	466	213
686	467	212
687	467	212
688	468	211
689	468	210
690	468	209
691	469	208
692	469	208
693	470	207
694	470	206
695	471	206
696	472	205
697	473	204
698	473	203
699	474	203
700	474	202
701	475	201
702	475	200
703	476	200
704	476	199
705	476	198
706	477	197
707	477	197
708	478	196
709	478	195
710	479	194
711	479	194
712	480	193
713	480	192
714	481	191
715	481	191
716	482	190
717	482	189
718	483	188
719	483	188
720	484	187
721	484	186
722	484	185
723	485	185
724	485	184
725	486	183
726	487	183
727	488	182
728	488	181
729	489	180
730	489	180
731	490	179
732	490	178
733	491	177
734	491	177
735	492	176
736	492	175
737	493	175
738	493	174
739	494	173
740	494	172
741	495	172
742	495	171
743	496	170
744	496	170
745	497	169
746	497	168
747	498	167
748	498	167
749	499	166
750	499	165
751	500	164
752	500	164
753	501	163
754	501	162
755	502	162
756	503	161
757	503	160
758	504	160
759	504	159
760	505	158
761	505	157
762	506	157
763	506	156
764	507	155
765	507	155
766	508	154
767	508	153
768	509	152
769	509	152
770	510	151
771	510	150
772	511	150
773	511	149
774	512	148
775	512	147
776	513	147
777	513	146
778	514	145
779	514	145
780	514	144
781	515	143
782	515	142
783	516	142
784	517	141
785	518	141
786	518	140
787	519	139
788	519	139
789	520	138
790	522	137
791	522	137
792	523	136
793	523	135
794	524	135
795	525	134
796	525	133
797	526	133
798	526	132
799	527	131
800	527	131
801	528	130
802	528	129
803	529	128
804	529	128
805	530	127
806	531	127
807	532	126
808	532	125
809	533	125
810	534	124
811	534	123
812	535	123
813	536	122
814	537	121
815	537	121
816	538	120
817	538	119
818	539	119
819	539	118
820	540	117
821	540	117
822	541	116
823	541	115
824	542	114
825	542	114
826	543	113
827	544	113
828	544	112
829	545	111
830	546	111
831	547	110
832	548	109
833	548	109
834	549	108
835	550	107
836	550	107
837	551	106
838	551	105
839	552	105
840	552	104
841	553	103
842	553	103
843	553	102
844	554	101
845	555	101
846	555	100
847	556	99
848	556	99
849	557	98
850	557	97
851	558	96
852	558	96
853	559	95
854	559	94
855	560	94
856	562	93
857	562	93
858	563	92
859	564	91
860	564	91
861	565	90
862	565	89
863	566	89
864	566	88
865	567	87
866	567	87
867	568	86
868	569	85
869	569	85
870	569	84
871	570	83
872	570	83
873	571	82
874	571	81
875	572	81
876	572	80
877	573	79
878	573	78
879	574	78
880	574	77
881	575	76
882	577	76
883	577	75
884	578	75
885	579	74
886	579	73
887	580	73
888	581	72
889	582	71
890	582	71
891	583	70
892	583	69
893	584	69
894	585	68
895	585	67
896	586	67
897	587	66
898	588	66
899	588	65
900	589	64
901	589	64
902	590	63
903	590	62
904	592	62
905	593	61
906	593	60
907	594	60
908	595	59
909	595	58
910	596	58
911	596	57
912	597	56
913	597	56
914	598	55
915	598	54
916	599	54
917	599	53
918	600	52
919	600	52
920	601	51
921	601	50
922	602	50
923	602	49
924	603	48
925	603	48
926	604	47
927	604	46
928	605	46
929	607	45
930	607	45
931	608	44
932	609	43
933	609	43
934	610	42
935	611	41
936	611	41
937	612	40
938	612	39
939	613	39
940	613	38
941	614	37
942	614	37
943	615	36
944	615	35
945	616	35
946	616	34
947	617	33
948	617	33
949	618	32
950	619	31
951	620	31
952	622	30
953	623	30
954	624	29
955	625	28
956	625	28
957	626	27
958	626	26
959	627	26
960	627	25
961	628	24
962	628	24
963	629	23
964	629	22
965	630	22
966	630	21
967	631	20
968	631	20
969	632	19
970	632	18
971	633	18
972	633	17
973	634	16
974	634	16
975	635	15
976	637	15
977	638	14
978	639	13
979	640	13
980	641	12
981	641	11
982	642	11
983	642	10
984	643	9
985	643	9
986	644	8
987	644	7
988	645	7
989	645	6
